_id,datetime,measurement.date,measurement.mass,measurement.name,measurement.remark,measurement.time,measurement.volume,modifeod,name
"""616a1a303b53000068003be3""",16.10.2021 02:17:52,"[""2021-10-16""]",[3.3879644870758057],"[""Mitte-Rechts""]","[""""]","[""02:17:17""]",[1.1293214559555054],16.10.2021 02:17:52,DeutscheBarytIndustrieOwlEye
"""616a1aac3b53000068003c13""",16.10.2021 02:19:56,"[""2021-10-16""]",[3.591693639755249],"[""Mitte-Rechts""]","[""""]","[""02:19:17""]",[1.1972311735153198],16.10.2021 02:19:56,DeutscheBarytIndustrieOwlEye
"""616a1b223b53000068003c43""",16.10.2021 02:21:54,"[""2021-10-16""]",[3.327768325805664],"[""Mitte-Rechts""]","[""""]","[""02:21:17""]",[1.1092561483383179],16.10.2021 02:21:54,DeutscheBarytIndustrieOwlEye
"""616a1b9a3b53000068003c73""",16.10.2021 02:23:53,"[""2021-10-16""]",[3.1765248775482178],"[""Mitte-Rechts""]","[""""]","[""02:23:17""]",[1.058841586112976],16.10.2021 02:23:53,DeutscheBarytIndustrieOwlEye
"""616a1c153b53000068003ca3""",16.10.2021 02:25:57,"[""2021-10-16""]",[0.2772412598133087],"[""Mitte-Rechts""]","[""""]","[""02:25:17""]",[0.0924137532711029],16.10.2021 02:25:57,DeutscheBarytIndustrieOwlEye
"""616a1c8d3b53000068003cd3""",16.10.2021 02:27:57,"[""2021-10-16""]",[3.0592238903045654],"[""Mitte-Rechts""]","[""""]","[""02:27:17""]",[1.0197412967681885],16.10.2021 02:27:57,DeutscheBarytIndustrieOwlEye
"""616a1d013b53000068003d03""",16.10.2021 02:29:52,"[""2021-10-16""]",[3.4463047981262207],"[""Mitte-Rechts""]","[""""]","[""02:29:17""]",[1.1487683057785034],16.10.2021 02:29:52,DeutscheBarytIndustrieOwlEye
"""616a1d773b53000068003d33""",16.10.2021 02:31:51,"[""2021-10-16""]",[0.21663610637187958],"[""Mitte-Rechts""]","[""""]","[""02:31:17""]",[0.07221203297376633],16.10.2021 02:31:51,DeutscheBarytIndustrieOwlEye
"""616a1def3b53000068003d63""",16.10.2021 02:33:51,"[""2021-10-16""]",[2.8106071949005127],"[""Mitte-Rechts""]","[""""]","[""02:33:17""]",[0.9368690252304077],16.10.2021 02:33:51,DeutscheBarytIndustrieOwlEye
"""616a1e673b53000068003d93""",16.10.2021 02:35:51,"[""2021-10-16""]",[2.7097437381744385],"[""Mitte-Rechts""]","[""""]","[""02:35:17""]",[0.9032479524612427],16.10.2021 02:35:51,DeutscheBarytIndustrieOwlEye
