_id,datetime,measurement.date,measurement.mass,measurement.name,measurement.remark,measurement.time,measurement.volume,modifeod,name
"""616a1c8c3b53000068003ccd""",16.10.2021 02:27:56,"[""2021-10-16""]",[22.892745971679688],"[""Siebanlage-Grobgut""]","[""""]","[""02:27:17""]",[7.894050121307373],16.10.2021 02:27:56,DeutscheBarytIndustrieOwlEye
"""616a1d003b53000068003cfd""",16.10.2021 02:29:51,"[""2021-10-16""]",[23.435087203979492],"[""Siebanlage-Grobgut""]","[""""]","[""02:29:17""]",[8.081064224243164],16.10.2021 02:29:51,DeutscheBarytIndustrieOwlEye
"""616a1d763b53000068003d2d""",16.10.2021 02:31:50,"[""2021-10-16""]",[23.79888343811035],"[""Siebanlage-Grobgut""]","[""""]","[""02:31:17""]",[8.206511497497559],16.10.2021 02:31:50,DeutscheBarytIndustrieOwlEye
"""616a1dee3b53000068003d5d""",16.10.2021 02:33:50,"[""2021-10-16""]",[23.818843841552734],"[""Siebanlage-Grobgut""]","[""""]","[""02:33:17""]",[8.213394165039062],16.10.2021 02:33:50,DeutscheBarytIndustrieOwlEye
"""616a1e663b53000068003d8d""",16.10.2021 02:35:50,"[""2021-10-16""]",[24.15669059753418],"[""Siebanlage-Grobgut""]","[""""]","[""02:35:17""]",[8.329893112182617],16.10.2021 02:35:50,DeutscheBarytIndustrieOwlEye
"""616a1ede3b53000068003dbd""",16.10.2021 02:37:50,"[""2021-10-16""]",[23.45027732849121],"[""Siebanlage-Grobgut""]","[""""]","[""02:37:17""]",[8.086301803588867],16.10.2021 02:37:50,DeutscheBarytIndustrieOwlEye
"""616a1f563b53000068003ded""",16.10.2021 02:39:50,"[""2021-10-16""]",[23.889251708984375],"[""Siebanlage-Grobgut""]","[""""]","[""02:39:17""]",[8.237672805786133],16.10.2021 02:39:50,DeutscheBarytIndustrieOwlEye
"""616a1fcf3b53000068003e1d""",16.10.2021 02:41:50,"[""2021-10-16""]",[22.73419952392578],"[""Siebanlage-Grobgut""]","[""""]","[""02:41:17""]",[7.839378833770752],16.10.2021 02:41:50,DeutscheBarytIndustrieOwlEye
"""616a5d5a6c2600003f000f8f""",16.10.2021 07:04:25,"[""2021-10-16""]",[23.896629333496094],"[""Siebanlage-Grobgut""]","[""""]","[""07:03:59""]",[8.240217208862305],16.10.2021 07:04:25,DeutscheBarytIndustrieOwlEye
"""616a6a566c2600003f000fbf""",16.10.2021 07:59:50,"[""2021-10-16""]",[23.94316864013672],"[""Siebanlage-Grobgut""]","[""""]","[""07:59:23""]",[8.256264686584473],16.10.2021 07:59:50,DeutscheBarytIndustrieOwlEye
"""616a6bf86c2600003f000fef""",16.10.2021 08:06:48,"[""2021-10-16""]",[23.869564056396484],"[""Siebanlage-Grobgut""]","[""""]","[""08:06:21""]",[8.230883598327637],16.10.2021 08:06:48,DeutscheBarytIndustrieOwlEye
"""616a6d9d6c2600003f00101f""",16.10.2021 08:13:49,"[""2021-10-16""]",[23.807607650756836],"[""Siebanlage-Grobgut""]","[""""]","[""08:13:21""]",[8.209519386291504],16.10.2021 08:13:49,DeutscheBarytIndustrieOwlEye
"""616a6f406c2600003f00104f""",16.10.2021 08:20:47,"[""2021-10-16""]",[24.37110710144043],"[""Siebanlage-Grobgut""]","[""""]","[""08:20:21""]",[8.403829574584961],16.10.2021 08:20:47,DeutscheBarytIndustrieOwlEye
"""616a70e46c2600003f00107f""",16.10.2021 08:27:47,"[""2021-10-16""]",[23.740591049194336],"[""Siebanlage-Grobgut""]","[""""]","[""08:27:21""]",[8.186410903930664],16.10.2021 08:27:47,DeutscheBarytIndustrieOwlEye
"""616a72886c2600003f0010af""",16.10.2021 08:34:47,"[""2021-10-16""]",[23.973224639892578],"[""Siebanlage-Grobgut""]","[""""]","[""08:34:21""]",[8.266629219055176],16.10.2021 08:34:47,DeutscheBarytIndustrieOwlEye
"""616a742d6c2600003f0010e1""",16.10.2021 08:41:49,"[""2021-10-16""]",[24.525419235229492],"[""Siebanlage-Grobgut""]","[""""]","[""08:41:21""]",[8.457040786743164],16.10.2021 08:41:49,DeutscheBarytIndustrieOwlEye
"""616a75d06c2600003f001111""",16.10.2021 08:48:47,"[""2021-10-16""]",[23.4277400970459],"[""Siebanlage-Grobgut""]","[""""]","[""08:48:21""]",[8.078531265258789],16.10.2021 08:48:47,DeutscheBarytIndustrieOwlEye
"""616a77736c2600003f001141""",16.10.2021 08:55:47,"[""2021-10-16""]",[24.324121475219727],"[""Siebanlage-Grobgut""]","[""""]","[""08:55:21""]",[8.387627601623535],16.10.2021 08:55:47,DeutscheBarytIndustrieOwlEye
"""616a79186c2600003f001171""",16.10.2021 09:02:48,"[""2021-10-16""]",[24.4193172454834],"[""Siebanlage-Grobgut""]","[""""]","[""09:02:21""]",[8.420454025268555],16.10.2021 09:02:48,DeutscheBarytIndustrieOwlEye
"""616a7abb6c2600003f0011a1""",16.10.2021 09:09:47,"[""2021-10-16""]",[23.825550079345703],"[""Siebanlage-Grobgut""]","[""""]","[""09:09:21""]",[8.215706825256348],16.10.2021 09:09:47,DeutscheBarytIndustrieOwlEye
"""616a7c606c2600003f0011d1""",16.10.2021 09:16:48,"[""2021-10-16""]",[23.79546356201172],"[""Siebanlage-Grobgut""]","[""""]","[""09:16:21""]",[8.205331802368164],16.10.2021 09:16:48,DeutscheBarytIndustrieOwlEye
"""616a7e046c2600003f001201""",16.10.2021 09:23:48,"[""2021-10-16""]",[23.642112731933594],"[""Siebanlage-Grobgut""]","[""""]","[""09:23:21""]",[8.15245246887207],16.10.2021 09:23:48,DeutscheBarytIndustrieOwlEye
"""616a7fa76c2600003f001231""",16.10.2021 09:30:47,"[""2021-10-16""]",[23.656583786010742],"[""Siebanlage-Grobgut""]","[""""]","[""09:30:21""]",[8.157442092895508],16.10.2021 09:30:47,DeutscheBarytIndustrieOwlEye
"""616a814c6c2600003f001261""",16.10.2021 09:37:47,"[""2021-10-16""]",[24.1556396484375],"[""Siebanlage-Grobgut""]","[""""]","[""09:37:21""]",[8.329530715942383],16.10.2021 09:37:47,DeutscheBarytIndustrieOwlEye
"""616a82ef6c2600003f001291""",16.10.2021 09:44:47,"[""2021-10-16""]",[23.799089431762695],"[""Siebanlage-Grobgut""]","[""""]","[""09:44:21""]",[8.206582069396973],16.10.2021 09:44:47,DeutscheBarytIndustrieOwlEye
"""616a84946c2600003f0012c1""",16.10.2021 09:51:48,"[""2021-10-16""]",[23.343040466308594],"[""Siebanlage-Grobgut""]","[""""]","[""09:51:21""]",[8.049324035644531],16.10.2021 09:51:48,DeutscheBarytIndustrieOwlEye
"""616a86386c2600003f0012f1""",16.10.2021 09:58:48,"[""2021-10-16""]",[23.93637466430664],"[""Siebanlage-Grobgut""]","[""""]","[""09:58:21""]",[8.253922462463379],16.10.2021 09:58:48,DeutscheBarytIndustrieOwlEye
"""616a87dc6c2600003f001321""",16.10.2021 10:05:48,"[""2021-10-16""]",[23.75693702697754],"[""Siebanlage-Grobgut""]","[""""]","[""10:05:21""]",[8.192047119140625],16.10.2021 10:05:48,DeutscheBarytIndustrieOwlEye
"""616a89806c2600003f001351""",16.10.2021 10:12:47,"[""2021-10-16""]",[23.759695053100586],"[""Siebanlage-Grobgut""]","[""""]","[""10:12:21""]",[8.192997932434082],16.10.2021 10:12:47,DeutscheBarytIndustrieOwlEye
"""616a8b236c2600003f001381""",16.10.2021 10:19:47,"[""2021-10-16""]",[23.83589744567871],"[""Siebanlage-Grobgut""]","[""""]","[""10:19:21""]",[8.219274520874023],16.10.2021 10:19:47,DeutscheBarytIndustrieOwlEye
"""616a8cc76c2600003f0013b1""",16.10.2021 10:26:47,"[""2021-10-16""]",[23.5102481842041],"[""Siebanlage-Grobgut""]","[""""]","[""10:26:21""]",[8.10698127746582],16.10.2021 10:26:47,DeutscheBarytIndustrieOwlEye
"""616a8e6a6c2600003f0013e1""",16.10.2021 10:33:46,"[""2021-10-16""]",[23.702280044555664],"[""Siebanlage-Grobgut""]","[""""]","[""10:33:21""]",[8.173199653625488],16.10.2021 10:33:46,DeutscheBarytIndustrieOwlEye
"""616a900f6c2600003f001411""",16.10.2021 10:40:47,"[""2021-10-16""]",[23.867204666137695],"[""Siebanlage-Grobgut""]","[""""]","[""10:40:21""]",[8.230070114135742],16.10.2021 10:40:47,DeutscheBarytIndustrieOwlEye
"""616a91b36c2600003f001441""",16.10.2021 10:47:47,"[""2021-10-16""]",[23.464509963989258],"[""Siebanlage-Grobgut""]","[""""]","[""10:47:21""]",[8.09121036529541],16.10.2021 10:47:47,DeutscheBarytIndustrieOwlEye
"""616a93586c2600003f001471""",16.10.2021 10:54:48,"[""2021-10-16""]",[23.90311050415039],"[""Siebanlage-Grobgut""]","[""""]","[""10:54:21""]",[8.242451667785645],16.10.2021 10:54:48,DeutscheBarytIndustrieOwlEye
"""616a93bf6c2600003f0014a1""",16.10.2021 10:56:30,"[""2021-10-16""]",[23.47754669189453],"[""Siebanlage-Grobgut""]","[""""]","[""10:56:04""]",[8.09570598602295],16.10.2021 10:56:30,DeutscheBarytIndustrieOwlEye
"""616a94fb6c2600003f0014d1""",16.10.2021 11:01:47,"[""2021-10-16""]",[23.545679092407227],"[""Siebanlage-Grobgut""]","[""""]","[""11:01:21""]",[8.119199752807617],16.10.2021 11:01:47,DeutscheBarytIndustrieOwlEye
"""616a969f6c2600003f001501""",16.10.2021 11:08:47,"[""2021-10-16""]",[23.751468658447266],"[""Siebanlage-Grobgut""]","[""""]","[""11:08:21""]",[8.19016170501709],16.10.2021 11:08:47,DeutscheBarytIndustrieOwlEye
"""616a98436c2600003f001531""",16.10.2021 11:15:47,"[""2021-10-16""]",[24.07304573059082],"[""Siebanlage-Grobgut""]","[""""]","[""11:15:21""]",[8.301050186157227],16.10.2021 11:15:47,DeutscheBarytIndustrieOwlEye
"""616a99e76c2600003f001561""",16.10.2021 11:22:47,"[""2021-10-16""]",[24.006078720092773],"[""Siebanlage-Grobgut""]","[""""]","[""11:22:21""]",[8.277957916259766],16.10.2021 11:22:47,DeutscheBarytIndustrieOwlEye
"""616a9b8c6c2600003f001591""",16.10.2021 11:29:47,"[""2021-10-16""]",[23.83845329284668],"[""Siebanlage-Grobgut""]","[""""]","[""11:29:21""]",[8.220155715942383],16.10.2021 11:29:47,DeutscheBarytIndustrieOwlEye
"""616a9d306c2600003f0015c1""",16.10.2021 11:36:47,"[""2021-10-16""]",[24.119115829467773],"[""Siebanlage-Grobgut""]","[""""]","[""11:36:21""]",[8.316936492919922],16.10.2021 11:36:47,DeutscheBarytIndustrieOwlEye
"""616a9ed36c2600003f0015f1""",16.10.2021 11:43:47,"[""2021-10-16""]",[23.65915870666504],"[""Siebanlage-Grobgut""]","[""""]","[""11:43:21""]",[8.158330917358398],16.10.2021 11:43:47,DeutscheBarytIndustrieOwlEye
"""616aa0776c2600003f001621""",16.10.2021 11:50:47,"[""2021-10-16""]",[23.339113235473633],"[""Siebanlage-Grobgut""]","[""""]","[""11:50:21""]",[8.047969818115234],16.10.2021 11:50:47,DeutscheBarytIndustrieOwlEye
"""616aa21c6c2600003f001651""",16.10.2021 11:57:48,"[""2021-10-16""]",[23.38308334350586],"[""Siebanlage-Grobgut""]","[""""]","[""11:57:21""]",[8.063132286071777],16.10.2021 11:57:48,DeutscheBarytIndustrieOwlEye
"""616aa3bf6c2600003f001681""",16.10.2021 12:04:47,"[""2021-10-16""]",[23.712465286254883],"[""Siebanlage-Grobgut""]","[""""]","[""12:04:21""]",[8.176712036132812],16.10.2021 12:04:47,DeutscheBarytIndustrieOwlEye
"""616aa5636c2600003f0016b1""",16.10.2021 12:11:47,"[""2021-10-16""]",[24.224977493286133],"[""Siebanlage-Grobgut""]","[""""]","[""12:11:21""]",[8.353440284729004],16.10.2021 12:11:47,DeutscheBarytIndustrieOwlEye
"""616aa7086c2600003f0016e1""",16.10.2021 12:18:48,"[""2021-10-16""]",[23.47641944885254],"[""Siebanlage-Grobgut""]","[""""]","[""12:18:21""]",[8.095316886901855],16.10.2021 12:18:48,DeutscheBarytIndustrieOwlEye
"""616aa8ac6c2600003f001711""",16.10.2021 12:25:48,"[""2021-10-16""]",[23.63921546936035],"[""Siebanlage-Grobgut""]","[""""]","[""12:25:21""]",[8.151453018188477],16.10.2021 12:25:48,DeutscheBarytIndustrieOwlEye
"""616aaa506c2600003f001741""",16.10.2021 12:32:48,"[""2021-10-16""]",[23.211700439453125],"[""Siebanlage-Grobgut""]","[""""]","[""12:32:21""]",[8.004034996032715],16.10.2021 12:32:48,DeutscheBarytIndustrieOwlEye
"""616aabf46c2600003f001771""",16.10.2021 12:39:48,"[""2021-10-16""]",[23.332307815551758],"[""Siebanlage-Grobgut""]","[""""]","[""12:39:21""]",[8.045622825622559],16.10.2021 12:39:48,DeutscheBarytIndustrieOwlEye
"""616aad986c2600003f0017a1""",16.10.2021 12:46:47,"[""2021-10-16""]",[23.17076873779297],"[""Siebanlage-Grobgut""]","[""""]","[""12:46:21""]",[7.989920139312744],16.10.2021 12:46:47,DeutscheBarytIndustrieOwlEye
"""616aaf3c6c2600003f0017d1""",16.10.2021 12:53:47,"[""2021-10-16""]",[23.261913299560547],"[""Siebanlage-Grobgut""]","[""""]","[""12:53:21""]",[8.02134895324707],16.10.2021 12:53:47,DeutscheBarytIndustrieOwlEye
