        -49.367999,         -41.114999,          -0.300991
        -49.144992,         -41.115996,          -0.320998
        -49.621009,         -40.586006,          -0.325993
        -49.865007,         -40.325005,          -0.321002
        -49.905005,         -40.066004,          -0.337003
        -49.647002,         -40.361984,          -0.334002
        -49.364987,         -40.845998,          -0.322996
        -49.386013,         -40.659994,          -0.328997
        -49.083003,         -40.871979,          -0.337008
        -49.366999,         -40.348004,          -0.350995
        -49.385998,         -40.139997,          -0.358003
        -49.140998,         -40.357999,          -0.358998
        -49.132008,         -40.107999,          -0.367993
        -48.631002,         -41.115988,          -0.353014
        -48.374013,         -41.624993,          -0.345994
        -48.106009,         -41.862008,          -0.352996
        -48.125988,         -41.631999,          -0.355010
        -48.366000,         -41.121001,          -0.358997
        -48.124009,         -41.115994,          -0.363010
        -48.622009,         -40.881988,          -0.351997
        -48.627005,         -40.615987,          -0.353990
        -48.625992,         -40.357004,          -0.359001
        -48.627006,         -40.128009,          -0.362001
        -48.390996,         -40.883996,          -0.360990
        -48.378003,         -40.602006,          -0.362997
        -48.090014,         -40.858985,          -0.359992
        -48.151007,         -40.614998,          -0.362000
        -48.386012,         -40.369985,          -0.358000
        -48.385001,         -40.135998,          -0.361006
        -48.129015,         -40.351986,          -0.366011
        -48.157990,         -40.118998,          -0.359988
        -52.089999,         -35.136008,          -0.448994
        -52.647006,         -34.012982,          -0.503999
        -52.609986,         -34.342000,          -0.455988
        -52.386994,         -34.854003,          -0.434011
        -52.375002,         -34.594002,          -0.450983
        -52.141994,         -34.882992,          -0.456001
        -52.120002,         -34.666008,          -0.448006
        -52.379010,         -34.381998,          -0.460001
        -52.400996,         -34.107990,          -0.472992
        -52.099001,         -34.406992,          -0.461004
        -53.177001,         -33.109001,          -0.477991
        -53.107993,         -32.631988,          -0.526008
        -53.162004,         -32.929004,          -0.480987
        -53.106991,         -32.135002,          -0.535999
        -52.817002,         -33.798002,          -0.505999
        -52.895992,         -33.506998,          -0.504994
        -52.693002,         -33.654995,          -0.502005
        -52.844989,         -33.065000,          -0.510008
        -52.620997,         -33.390000,          -0.508007
        -52.601013,         -33.150983,          -0.515002
        -52.340999,         -33.666017,          -0.486994
        -52.106992,         -33.920000,          -0.478013
        -52.109997,         -33.650003,          -0.491006
        -52.421009,         -33.396010,          -0.508008
        -52.370005,         -33.135979,          -0.510997
        -52.173981,         -33.095012,          -0.505008
        -52.871007,         -32.863986,          -0.523004
        -52.854996,         -32.634994,          -0.525995
        -52.663989,         -32.864001,          -0.514995
        -52.625018,         -32.626988,          -0.517995
        -52.868985,         -32.125004,          -0.540013
        -52.624998,         -32.126002,          -0.537991
        -52.368014,         -32.877001,          -0.516005
        -52.383005,         -32.620000,          -0.516984
        -52.112995,         -32.612992,          -0.511995
        -52.354013,         -32.133985,          -0.532996
        -52.105992,         -32.130998,          -0.539014
        -50.138003,         -39.575003,          -0.355012
        -50.674997,         -38.123012,          -0.363018
        -50.150999,         -38.879003,          -0.358009
        -50.102006,         -38.653999,          -0.375002
        -51.119994,         -37.372998,          -0.388998
        -51.138005,         -37.123985,          -0.392991
        -51.636999,         -36.364999,          -0.405992
        -51.627992,         -36.108998,          -0.418001
        -51.364981,         -36.607012,          -0.407993
        -51.111999,         -36.634003,          -0.402005
        -51.368000,         -36.405000,          -0.416000
        -51.377999,         -36.124999,          -0.423996
        -51.116007,         -36.387009,          -0.412999
        -51.138999,         -36.159995,          -0.423986
        -50.876002,         -37.907986,          -0.381997
        -50.917004,         -37.609998,          -0.376006
        -50.663021,         -37.610991,          -0.382997
        -50.888994,         -37.368989,          -0.383985
        -50.808995,         -37.108003,          -0.388993
        -50.634003,         -37.372009,          -0.384986
